application_date,Holiday
01-01-2017,yes
01-14-2017,yes
01-26-2017,yes
02-24-2017,yes
03-13-2017,yes
03-28-2017,yes
04-05-2017,yes
04-09-2017,yes
04-14-2017,yes
05-01-2017,yes
05-10-2017,yes
06-25-2017,yes
06-26-2017,yes
08-07-2017,yes
08-14-2017,yes
08-15-2017,yes
08-25-2017,yes
09-02-2017,yes
09-04-2017,yes
09-30-2017,yes
10-01-2017,yes
10-02-2017,yes
10-19-2017,yes
12-01-2017,yes
12-25-2017,yes
01-01-2019,yes
01-14-2019,yes
01-26-2019,yes
03-04-2019,yes
03-21-2019,yes
04-06-2019,yes
04-13-2019,yes
04-17-2019,yes
04-19-2019,yes
05-01-2019,yes
05-18-2019,yes
06-05-2019,yes
07-04-2019,yes
08-12-2019,yes
08-15-2019,yes
08-15-2019,yes
08-24-2019,yes
09-02-2019,yes
09-10-2019,yes
09-11-2019,yes
10-02-2019,yes
10-08-2019,yes
10-27-2019,yes
11-10-2019,yes
11-12-2019,yes
12-25-2019,yes
01-01-2018,yes
01-14-2018,yes
01-26-2018,yes
02-14-2018,yes
03-02-2018,yes
03-18-2018,yes
03-25-2018,yes
03-29-2018,yes
03-30-2018,yes
04-30-2018,yes
05-01-2018,yes
06-16-2018,yes
07-14-2018,yes
08-15-2018,yes
08-22-2018,yes
08-25-2018,yes
08-26-2018,yes
09-03-2018,yes
09-13-2018,yes
09-21-2018,yes
10-02-2018,yes
10-19-2018,yes
11-07-2018,yes
11-21-2018,yes
11-23-2018,yes
12-25-2018,yes
