application_date,segment,branch_id,state,zone,no_of_applicants
01-04-2017,1,1,WEST BENGAL,EAST,40
01-04-2017,1,3,DELHI,NORTH,58
01-04-2017,1,5,KARNATAKA,SOUTH,10
01-04-2017,1,7,WEST BENGAL,EAST,2
01-04-2017,1,8,WEST BENGAL,EAST,13
01-04-2017,1,9,WEST BENGAL,EAST,11
01-04-2017,1,10,WEST BENGAL,EAST,0
01-04-2017,1,11,WEST BENGAL,EAST,9
01-04-2017,1,13,TAMIL NADU,SOUTH,1
01-04-2017,1,14,UTTAR PRADESH,EAST,0
01-04-2017,1,15,PUNJAB,NORTH,5
01-04-2017,1,16,TELANGANA,SOUTH,1
01-04-2017,1,17,ANDHRA PRADESH,SOUTH,0
01-04-2017,1,18,MAHARASHTRA,WEST,0
01-04-2017,1,19,MAHARASHTRA,WEST,17
01-04-2017,1,20,ORISSA,SOUTH,8
01-04-2017,1,21,MAHARASHTRA,WEST,0
01-04-2017,1,29,WEST BENGAL,EAST,0
01-04-2017,1,34,GUJARAT,WEST,4
01-04-2017,1,35,TAMIL NADU,SOUTH,0
01-04-2017,1,36,ASSAM,EAST,5
01-04-2017,1,42,WEST BENGAL,EAST,2
01-04-2017,1,43,TAMIL NADU,SOUTH,0
01-04-2017,1,48,ORISSA,SOUTH,12
01-04-2017,1,61,GUJARAT,WEST,1
01-04-2017,1,62,PUNJAB,NORTH,2
01-04-2017,1,63,JHARKHAND,SOUTH,6
01-04-2017,1,64,KARNATAKA,SOUTH,0
01-04-2017,1,65,ASSAM,EAST,12
01-04-2017,1,66,ANDHRA PRADESH,SOUTH,0
01-04-2017,1,67,GUJARAT,WEST,8
01-04-2017,1,68,GUJARAT,WEST,1
01-04-2017,1,69,TAMIL NADU,SOUTH,0
01-04-2017,1,70,MAHARASHTRA,WEST,0
01-04-2017,1,72,PUNJAB,NORTH,3
01-04-2017,1,73,PUNJAB,NORTH,10
01-04-2017,1,74,MAHARASHTRA,WEST,1
01-04-2017,1,76,TAMIL NADU,SOUTH,0
01-04-2017,1,77,MAHARASHTRA,WEST,0
01-04-2017,1,78,MAHARASHTRA,WEST,0
01-04-2017,1,79,UTTARAKHAND,EAST,11
01-04-2017,1,82,KERALA,SOUTH,0
01-04-2017,1,84,CHHATTISGARH,CENTRAL,0
01-04-2017,1,85,MAHARASHTRA,WEST,0
01-04-2017,1,100,UTTAR PRADESH,EAST,0
